Cells,"Selection step (T0, black and white)",Final,Time point 1,Time point 2,Time point 3,Time point 4,Time point 5,Time point 6,Time point 7,Time point 8,Time point 9,Time point 10,Time point 11,Time point 12,Time point 13,Time point 14,Time point 15,Time point 16
chip1_1851035014_site_33,TU-NK,TU,0,0,0,0,0,0,0,0,0,0,0,0,1,2.007,1.434,3.436
chip1_1851035014_site_34,TU-NK,TU-NK,0,0,0,0,0,0,3.887,0,3.745,3.219,3.219,3.073,0,2.693,2.838,3.274
chip1_1851035014_site_36,TU-NK,TU-NK,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_13,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_14,TU-NK,TU-NK,6.472,6.472,6.472,6.472,6.472,6.472,7.803,7.803,7.803,7.803,7.803,8.975,8.975,8.975,8.975,8.975
chip2_1851035011_site_15,TU-NK,TU,0,0,0,0,0,0,7.087,7.087,6.472,6.708,6.708,6.708,6.708,7.608,7.608,7.608
chip2_1851035011_site_16,TU-NK,TU-NK,0,1.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_17,TU-NK,TU-NK,0,0,0,0,1.904,4.776,1.118,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_18,TU-NK,TU-NK,0,1.803,3.01,2.658,2.512,1.803,0,0,0,0,0,2.151,2.795,2.136,0,0
chip2_1851035011_site_19,TU-NK,TU-NK,0.559,1.904,1.346,1.118,0,0,0,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_20,TU-NK,TU-NK,3.64,1.677,2.85,3.816,3.4,3.889,1.75,2.151,0.901,1.768,3.26,3.26,3.01,2.264,3.092,4.161
chip2_1851035011_site_21,TU-NK,TU-NK,0,1.064,5.814,8.625,5.875,5.875,0,0,0,0,0.946,1.947,1.833,1.803,1.803,1.803
chip2_1851035011_site_22,TU-NK,TU-NK,0,0.833,5.843,8.507,5.503,5.503,1.167,0,0,0,0,2.267,2.267,0,0,0
chip2_1851035011_site_23,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_24,TU-NK,TU-NK,0,0,0,3.041,2,2.55,0,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_25,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.953,1.953,5.056
chip2_1851035011_site_27,TU-NK,TU-NK,0,1.677,1.953,2.016,2.305,3.202,5.657,4.373,4.373,5,5,4.697,5.056,5.056,5.056,5.056
chip2_1851035011_site_28,TU-NK,NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_29,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_30,TU-NK,NK,4.75,4.562,4.562,4.5,5.256,4.07,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
chip2_1851035011_site_31,TU-NK,TU,0,2.136,0,0,0,0,3.26,3.473,3.473,3.473,3.473,3.473,1.521,3.553,4.854,4.854
chip2_1851035011_site_33,TU-NK,TU-NK,3.01,2.173,1.269,2.687,4.197,4.197,2.192,2.192,2.192,3.06,0,0,0,0,0,0
chip2_1851035011_site_34,TU-NK,TU-NK,0,2.034,3.468,0,0,0,3.005,3.005,4.693,4.031,4.853,6.067,5.297,6.368,5.044,7.215
